node,x,y,time,state,distance,speed,acc
0,30,10,0,Base,,,
0,30,10,300,Base,,,
1,10,40,0,Base,,,
1,10,40,300,Base,,,
2,50,40,0,Base,,,
2,51,39,1,Base,,,
2,52,38,2,Base,,,
2,53,37,3,Base,,,
2,54,36,4,Base,,,
2,55,35,5,Base,,,
2,56,34,6,Base,,,
2,57,33,7,Base,,,
2,58,32,8,Base,,,
2,59,31,9,Base,,,
2,60,30,10,Base,,,
2,61,29,11,Base,,,
2,62,28,12,Base,,,
2,63,27,13,Base,,,
2,64,26,14,Base,,,
2,65,25,15,Base,,,
2,66,24,16,Base,,,
2,67,23,17,Base,,,
2,68,22,18,Base,,,
2,69,21,19,Base,,,
2,70,20,20,Base,,,
2,71,19,21,Base,,,
2,72,18,22,Base,,,
2,73,17,23,Base,,,
2,74,16,24,Base,,,
2,75,15,25,Base,,,
2,76,14,26,Base,,,
2,77,13,27,Base,,,
2,78,12,28,Base,,,
2,79,11,29,Base,,,
2,80,10,30,Base,,,
2,80,10,300,Base,,,
