node,x,y,time,state,distance,speed,acc
0,30,10,0,Base,,,
0,30,10,300,Base,,,
1,10,40,0,Base,,,
1,10,40,300,Base,,,
2,50,40,0,Base,,,
2,50,40,1,Base,,,
2,50,40,2,Base,,,
2,50,40,3,Base,,,
2,50,40,4,Base,,,
2,50,40,5,Base,,,
2,50,40,6,Base,,,
2,50,40,7,Base,,,
2,50,40,8,Base,,,
2,50,40,9,Base,,,
2,51,39,10,Base,,,
2,52,38,11,Base,,,
2,53,37,12,Base,,,
2,54,36,13,Base,,,
2,55,35,14,Base,,,
2,56,34,15,Base,,,
2,57,33,16,Base,,,
2,58,32,17,Base,,,
2,59,31,18,Base,,,
2,60,30,19,Base,,,
2,61,29,20,Base,,,
2,62,28,21,Base,,,
2,63,27,22,Base,,,
2,64,26,23,Base,,,
2,65,25,24,Base,,,
2,66,24,25,Base,,,
2,67,23,26,Base,,,
2,68,22,27,Base,,,
2,69,21,28,Base,,,
2,70,20,29,Base,,,
2,71,19,30,Base,,,
2,72,18,31,Base,,,
2,73,17,32,Base,,,
2,74,16,33,Base,,,
2,75,15,34,Base,,,
2,76,14,35,Base,,,
2,77,13,36,Base,,,
2,78,12,37,Base,,,
2,79,11,38,Base,,,
2,80,10,39,Base,,,
2,80,10,300,Base,,,
