node,x,y,time,state,distance,speed,acc
0.0,100.38,247.14,0.0,5.0,0.0,0.0,0.0
0.0,100.24799999999999,245.41199999999998,3.0,5.0,1.733,0.578,0.193
0.0,100.116,243.684,6.0,5.0,1.733,0.578,0.0
0.0,99.984,241.956,9.0,5.0,1.733,0.578,0.0
0.0,99.852,240.228,12.0,5.0,1.733,0.578,0.0
0.0,99.72,238.5,15.0,5.0,1.733,0.578,0.0
0.0,99.588,236.772,18.0,5.0,1.733,0.578,0.0
0.0,99.456,235.044,21.0,5.0,1.733,0.578,0.0
0.0,99.324,233.316,24.0,5.0,1.733,0.578,0.0
0.0,99.19200000000001,231.58800000000002,27.0,5.0,1.733,0.578,0.0
0.0,99.06,229.86,30.0,4.0,1.733,0.578,0.0
0.0,99.384,227.83800000000002,34.0,4.0,2.048,0.512,-0.016
0.0,99.708,225.816,38.0,4.0,2.048,0.512,0.0
0.0,100.032,223.794,42.0,4.0,2.048,0.512,0.0
0.0,100.356,221.772,46.0,4.0,2.048,0.512,0.0
0.0,100.68,219.75,50.0,4.0,2.048,0.512,0.0
0.0,101.004,217.728,54.0,4.0,2.048,0.512,0.0
0.0,101.328,215.706,58.0,4.0,2.048,0.512,0.0
0.0,101.652,213.684,62.0,4.0,2.048,0.512,0.0
0.0,101.976,211.66199999999998,66.0,4.0,2.048,0.512,0.0
0.0,102.3,209.64,70.0,3.0,2.048,0.512,0.0
0.0,102.402,207.66299999999998,74.0,3.0,1.98,0.495,-0.004
0.0,102.50399999999999,205.68599999999998,78.0,3.0,1.98,0.495,0.0
0.0,102.606,203.709,82.0,3.0,1.98,0.495,0.0
0.0,102.708,201.732,86.0,3.0,1.98,0.495,0.0
0.0,102.81,199.755,90.0,3.0,1.98,0.495,0.0
0.0,102.91199999999999,197.778,94.0,3.0,1.98,0.495,0.0
0.0,103.014,195.801,98.0,3.0,1.98,0.495,0.0
0.0,103.116,193.824,102.0,3.0,1.98,0.495,0.0
0.0,103.21799999999999,191.847,106.0,3.0,1.98,0.495,0.0
0.0,103.32,189.87,110.0,2.0,1.98,0.495,0.0
0.0,103.92599999999999,187.85,114.0,2.0,2.109,0.527,0.008
0.0,104.532,185.83,118.0,2.0,2.109,0.527,0.0
0.0,105.13799999999999,183.81,122.0,2.0,2.109,0.527,0.0
0.0,105.744,181.79,126.0,2.0,2.109,0.527,0.0
0.0,106.35,179.76999999999998,130.0,2.0,2.109,0.527,0.0
0.0,106.95599999999999,177.75,134.0,2.0,2.109,0.527,0.0
0.0,107.562,175.73,138.0,2.0,2.109,0.527,0.0
0.0,108.16799999999999,173.70999999999998,142.0,2.0,2.109,0.527,0.0
0.0,108.774,171.69,146.0,2.0,2.109,0.527,0.0
0.0,109.38,169.67,150.0,1.0,2.109,0.527,0.0
0.0,109.708,166.69799999999998,154.0,1.0,2.99,0.748,0.055
0.0,110.036,163.726,158.0,1.0,2.99,0.748,0.0
0.0,110.36399999999999,160.754,162.0,1.0,2.99,0.748,0.0
0.0,110.692,157.78199999999998,166.0,1.0,2.99,0.748,0.0
0.0,111.02,154.81,170.0,1.0,2.99,0.748,0.0
0.0,111.348,151.838,174.0,1.0,2.99,0.748,0.0
0.0,111.676,148.86599999999999,178.0,0.0,2.99,0.748,0.0
0.0,112.00399999999999,145.89399999999998,182.0,0.0,2.99,0.748,0.0
