node,x,y,time,state,distance,speed,acc
0.0,126.28,105.62,0.0,5.0,0.0,0.0,0.0
0.0,126.365,105.13000000000001,3.0,5.0,0.497,0.166,0.055
0.0,126.45,104.64,6.0,5.0,0.497,0.166,0.0
0.0,126.535,104.15,9.0,5.0,0.497,0.166,0.0
0.0,126.62,103.66,12.0,5.0,0.497,0.166,0.0
0.0,126.705,103.17,15.0,5.0,0.497,0.166,0.0
0.0,126.78999999999999,102.68,18.0,5.0,0.497,0.166,0.0
0.0,126.875,102.19,21.0,5.0,0.497,0.166,0.0
0.0,126.96,101.7,24.0,5.0,0.497,0.166,0.0
0.0,127.045,101.21,27.0,4.0,0.497,0.166,0.0
0.0,127.13,100.72,30.0,4.0,0.497,0.166,0.0
0.0,127.53099999999999,98.789,33.0,4.0,1.972,0.657,0.164
0.0,127.93199999999999,96.858,36.0,4.0,1.972,0.657,0.0
0.0,128.333,94.92699999999999,39.0,4.0,1.972,0.657,0.0
0.0,128.73399999999998,92.996,42.0,4.0,1.972,0.657,0.0
0.0,129.135,91.065,45.0,4.0,1.972,0.657,0.0
0.0,129.536,89.134,48.0,4.0,1.972,0.657,0.0
0.0,129.93699999999998,87.203,51.0,4.0,1.972,0.657,0.0
0.0,130.338,85.27199999999999,54.0,4.0,1.972,0.657,0.0
0.0,130.73899999999998,83.341,57.0,4.0,1.972,0.657,0.0
0.0,131.14,81.41,60.0,3.0,1.972,0.657,0.0
0.0,131.55499999999998,79.447,63.0,3.0,2.006,0.669,0.004
0.0,131.97,77.484,66.0,3.0,2.006,0.669,0.0
0.0,132.385,75.521,69.0,3.0,2.006,0.669,0.0
0.0,132.79999999999998,73.55799999999999,72.0,3.0,2.006,0.669,0.0
0.0,133.21499999999997,71.595,75.0,3.0,2.006,0.669,0.0
0.0,133.63,69.632,78.0,3.0,2.006,0.669,0.0
0.0,134.045,67.669,81.0,3.0,2.006,0.669,0.0
0.0,134.45999999999998,65.706,84.0,3.0,2.006,0.669,0.0
0.0,134.875,63.742999999999995,87.0,3.0,2.006,0.669,0.0
0.0,135.29,61.78,90.0,2.0,2.006,0.669,0.0
0.0,136.152,59.881,93.0,2.0,2.085,0.695,0.009
0.0,137.01399999999998,57.982,96.0,2.0,2.085,0.695,0.0
0.0,137.876,56.083,99.0,2.0,2.085,0.695,0.0
0.0,138.738,54.184,102.0,2.0,2.085,0.695,0.0
0.0,139.6,52.285,105.0,2.0,2.085,0.695,0.0
0.0,140.462,50.385999999999996,108.0,2.0,2.085,0.695,0.0
0.0,141.32399999999998,48.486999999999995,111.0,2.0,2.085,0.695,0.0
0.0,142.186,46.588,114.0,2.0,2.085,0.695,0.0
0.0,143.048,44.689,117.0,2.0,2.085,0.695,0.0
0.0,143.91,42.79,120.0,1.0,2.085,0.695,0.0
0.0,145.796,40.319,123.0,1.0,3.109,1.036,0.114
0.0,147.682,37.848,126.0,1.0,3.109,1.036,0.0
0.0,149.568,35.376999999999995,129.0,1.0,3.109,1.036,0.0
0.0,151.454,32.906,132.0,1.0,3.109,1.036,0.0
0.0,153.34,30.435,135.0,1.0,3.109,1.036,0.0
0.0,155.226,27.964,138.0,1.0,3.109,1.036,0.0
0.0,157.112,25.493,141.0,0.0,3.109,1.036,0.0
0.0,158.99800000000002,23.022,144.0,0.0,3.109,1.036,0.0
0.0,160.88400000000001,20.551,147.0,0.0,3.109,1.036,0.0
0.0,162.77,18.08,150.0,0.0,3.109,1.036,0.0
0.0,162.99900000000002,18.230999999999998,153.0,0.0,0.274,0.091,-0.315
