node,x,y,time,state,distance,speed,acc
0.0,126.28,105.62,0.0,5.0,0.0,0.0,0.0
0.0,127.13,100.72,30.0,4.0,4.973,0.166,0.006
0.0,131.14,81.41,60.0,3.0,19.722,0.657,0.016
0.0,135.29,61.78,90.0,2.0,20.064,0.669,0.0
0.0,143.91,42.79,120.0,1.0,20.855,0.695,0.001
0.0,162.77,18.08,150.0,0.0,31.085,1.036,0.011
0.0,165.06,19.59,180.0,0.0,2.743,0.091,-0.032
0.0,165.61,14.93,210.0,0.0,4.692,0.156,0.002
0.0,158.98,28.06,240.0,1.0,14.709,0.49,0.011
0.0,153.41,47.52,270.0,2.0,20.241,0.675,0.006
0.0,144.75,65.91,300.0,3.0,20.327,0.678,0.0
1,120,120,0,Base,,,
1,120.1,120.1,300.0,Base,,,
2,220,80,0,Base,,,
2,220.1,80.1,300.0,Base,,,
