node,x,y,time,state,distance,speed,acc
0.0,138.55,152.57,0.0,4.0,0.0,0.0,0.0
0.0,141.20000000000002,152.362,2.0,4.0,2.658,1.329,0.664
0.0,143.85000000000002,152.154,4.0,3.0,2.658,1.329,0.0
0.0,146.5,151.946,6.0,3.0,2.658,1.329,0.0
0.0,149.15,151.738,8.0,3.0,2.658,1.329,0.0
0.0,151.8,151.53,10.0,3.0,2.658,1.329,0.0
0.0,154.45000000000002,151.322,12.0,3.0,2.658,1.329,0.0
0.0,157.10000000000002,151.114,14.0,3.0,2.658,1.329,0.0
0.0,159.75,150.906,16.0,3.0,2.658,1.329,0.0
0.0,162.4,150.698,18.0,3.0,2.658,1.329,0.0
0.0,165.05,150.49,20.0,3.0,2.658,1.329,0.0
0.0,160.83200000000002,151.496,23.0,3.0,4.336,1.445,0.039
0.0,156.614,152.502,26.0,3.0,4.336,1.445,0.0
0.0,152.39600000000002,153.508,29.0,3.0,4.336,1.445,0.0
0.0,148.178,154.514,32.0,3.0,4.336,1.445,0.0
0.0,143.96,155.52,35.0,3.0,4.336,1.445,0.0
0.0,139.74200000000002,156.526,38.0,3.0,4.336,1.445,0.0
0.0,135.524,157.532,41.0,3.0,4.336,1.445,0.0
0.0,131.306,158.538,44.0,3.0,4.336,1.445,0.0
0.0,127.088,159.544,47.0,3.0,4.336,1.445,0.0
0.0,122.87,160.55,50.0,3.0,4.336,1.445,0.0
0.0,118.092,145.279,53.0,4.0,16.001,5.334,1.296
0.0,113.31400000000001,130.008,56.0,5.0,16.001,5.334,0.0
0.0,108.536,114.737,59.0,5.0,16.001,5.334,0.0
0.0,103.75800000000001,99.46600000000001,62.0,4.0,16.001,5.334,0.0
0.0,98.98,84.19500000000001,65.0,3.0,16.001,5.334,0.0
0.0,94.202,68.92399999999999,68.0,3.0,16.001,5.334,0.0
0.0,89.424,53.65299999999999,71.0,2.0,16.001,5.334,0.0
0.0,84.646,38.382000000000005,74.0,1.0,16.001,5.334,0.0
0.0,79.868,23.11099999999999,77.0,0.0,16.001,5.334,0.0
0.0,75.09,7.84,80.0,0.0,16.001,5.334,0.0
0.0,74.154,20.434,83.0,0.0,12.629,4.21,-0.375
0.0,73.218,33.028000000000006,86.0,1.0,12.629,4.21,0.0
0.0,72.282,45.622,89.0,1.0,12.629,4.21,0.0
0.0,71.346,58.21600000000001,92.0,2.0,12.629,4.21,0.0
0.0,70.41,70.81,95.0,2.0,12.629,4.21,0.0
0.0,69.474,83.40400000000001,98.0,2.0,12.629,4.21,0.0
0.0,68.538,95.998,101.0,3.0,12.629,4.21,0.0
0.0,67.602,108.59200000000001,104.0,3.0,12.629,4.21,0.0
0.0,66.666,121.186,107.0,3.0,12.629,4.21,0.0
0.0,65.73,133.78,110.0,3.0,12.629,4.21,0.0
0.0,76.95700000000001,131.516,113.0,3.0,11.453,3.818,-0.131
0.0,88.184,129.252,116.0,4.0,11.453,3.818,0.0
0.0,99.411,126.988,119.0,4.0,11.453,3.818,0.0
0.0,110.638,124.724,122.0,5.0,11.453,3.818,0.0
0.0,121.86500000000001,122.46000000000001,125.0,5.0,11.453,3.818,0.0
0.0,133.092,120.196,128.0,5.0,11.453,3.818,0.0
0.0,144.31900000000002,117.932,131.0,4.0,11.453,3.818,0.0
0.0,155.546,115.668,134.0,4.0,11.453,3.818,0.0
0.0,166.773,113.404,137.0,3.0,11.453,3.818,0.0
0.0,178.0,111.14,140.0,3.0,11.453,3.818,0.0
0.0,176.537,114.408,143.0,3.0,3.581,1.194,-0.875
0.0,175.074,117.676,146.0,3.0,3.581,1.194,0.0
0.0,173.611,120.944,149.0,3.0,3.581,1.194,0.0
0.0,172.148,124.212,152.0,3.0,3.581,1.194,0.0
0.0,170.685,127.47999999999999,155.0,3.0,3.581,1.194,0.0
0.0,169.222,130.748,158.0,3.0,3.581,1.194,0.0
0.0,167.75900000000001,134.016,161.0,3.0,3.581,1.194,0.0
0.0,166.296,137.284,164.0,3.0,3.581,1.194,0.0
0.0,164.833,140.552,167.0,3.0,3.581,1.194,0.0
0.0,163.37,143.82,170.0,3.0,3.581,1.194,0.0
0.0,164.898,151.113,173.0,3.0,7.451,2.484,0.43
0.0,166.42600000000002,158.406,176.0,2.0,7.451,2.484,0.0
0.0,167.954,165.699,179.0,2.0,7.451,2.484,0.0
0.0,169.482,172.992,182.0,2.0,7.451,2.484,0.0
0.0,171.01,180.285,185.0,2.0,7.451,2.484,0.0
0.0,172.538,187.578,188.0,1.0,7.451,2.484,0.0
0.0,174.066,194.871,191.0,1.0,7.451,2.484,0.0
0.0,175.594,202.164,194.0,1.0,7.451,2.484,0.0
0.0,177.122,209.457,197.0,0.0,7.451,2.484,0.0
0.0,178.65,216.75,200.0,0.0,7.451,2.484,0.0
0.0,185.106,205.848,203.0,0.0,12.67,4.223,0.58
0.0,191.562,194.946,206.0,0.0,12.67,4.223,0.0
0.0,198.018,184.04399999999998,209.0,0.0,12.67,4.223,0.0
0.0,204.47400000000002,173.142,212.0,1.0,12.67,4.223,0.0
0.0,210.93,162.24,215.0,0.0,12.67,4.223,0.0
0.0,217.38600000000002,151.338,218.0,0.0,12.67,4.223,0.0
0.0,223.842,140.43599999999998,221.0,0.0,12.67,4.223,0.0
0.0,230.298,129.534,224.0,0.0,12.67,4.223,0.0
0.0,236.75400000000002,118.632,227.0,0.0,12.67,4.223,0.0
0.0,243.21,107.73,230.0,0.0,12.67,4.223,0.0
0.0,227.43900000000002,107.962,233.0,0.0,15.773,5.258,0.345
0.0,211.668,108.194,236.0,1.0,15.773,5.258,0.0
0.0,195.897,108.426,239.0,2.0,15.773,5.258,0.0
0.0,180.126,108.658,242.0,2.0,15.773,5.258,0.0
0.0,164.35500000000002,108.89,245.0,3.0,15.773,5.258,0.0
0.0,148.584,109.122,248.0,4.0,15.773,5.258,0.0
0.0,132.813,109.354,251.0,5.0,15.773,5.258,0.0
