node,x,y,time,state,distance,speed,acc
0,30,45,0,Base,,,
0,30,45,15,Base,,,
0,30,44,16,Base,,,
0,30,43,17,Base,,,
0,30,42,18,Base,,,
0,30,41,19,Base,,,
0,30,40,20,Base,,,
0,31,39,21,Base,,,
0,32,38,22,Base,,,
0,33,37,23,Base,,,
0,34,36,24,Base,,,
0,35,35,25,Base,,,
0,36,34,26,Base,,,
0,37,33,27,Base,,,
0,38,32,28,Base,,,
0,39,31,29,Base,,,
0,40,30,30,Base,,,
0,41,29,31,Base,,,
0,42,28,32,Base,,,
0,43,27,33,Base,,,
0,44,26,34,Base,,,
0,45,25,35,Base,,,
0,46,24,36,Base,,,
0,47,23,37,Base,,,
0,48,22,38,Base,,,
0,49,21,39,Base,,,
0,50,20,40,Base,,,
0,51,19,41,Base,,,
0,52,18,42,Base,,,
0,53,17,43,Base,,,
0,54,16,44,Base,,,
0,55,15,45,Base,,,
0,56,14,46,Base,,,
0,57,13,47,Base,,,
0,58,12,48,Base,,,
0,59,11,49,Base,,,
0,60,10,50,Base,,,
0,61,9,51,Base,,,
0,62,8,52,Base,,,
0,63,7,53,Base,,,
0,64,6,54,Base,,,
0,65,5,55,Base,,,
0,66,5,55.5,Base,,,
0,67,5,56.0,Base,,,
0,68,5,56.5,Base,,,
0,69,5,57.0,Base,,,
0,70,5,57.5,Base,,,
0,71,5,58.0,Base,,,
0,72,5,58.5,Base,,,
0,73,5,59.0,Base,,,
0,74,5,59.5,Base,,,
0,75,5,60.0,Base,,,
0,76,5,60.5,Base,,,
0,77,5,61.0,Base,,,
0,78,5,61.5,Base,,,
0,79,5,62.0,Base,,,
0,80,5,62.5,Base,,,
0,81,5,63.0,Base,,,
0,82,5,63.5,Base,,,
0,83,5,64.0,Base,,,
0,84,5,64.5,Base,,,
0,85,5,65.0,Base,,,
0,86,5,65.5,Base,,,
0,87,5,66.0,Base,,,
0,88,5,66.5,Base,,,
0,89,5,67.0,Base,,,
0,90,5,67.5,Base,,,
0,90,5,95.0,Base,,,
0,89,5,95.5,Base,,,
0,88,5,96.5,Base,,,
