time,SSID,signal,signal_avg,rx_bitrate,tx_bitrate
8.502267122268677,ap1-ssid,-74.0,-74.0,NaN,12.0 MBit/s
9.507431030273438,ap1-ssid,-72.0,-73.0,NaN,12.0 MBit/s
10.516436100006104,ap1-ssid,-72.0,-72.66666666666667,NaN,12.0 MBit/s
11.51836895942688,ap1-ssid,-73.0,-72.75,NaN,12.0 MBit/s
12.521864175796509,ap1-ssid,-77.0,-73.6,NaN,12.0 MBit/s
13.524541139602661,ap1-ssid,-74.0,-73.6,NaN,12.0 MBit/s
14.52764105796814,ap1-ssid,-76.0,-74.4,NaN,12.0 MBit/s
15.534893035888672,ap1-ssid,-77.0,-75.4,48.0 MBit/s,12.0 MBit/s
16.539685010910034,ap1-ssid,-73.0,-75.4,48.0 MBit/s,12.0 MBit/s
17.54236602783203,ap1-ssid,-76.0,-75.2,48.0 MBit/s,12.0 MBit/s
18.544998168945312,ap1-ssid,-73.0,-75.0,48.0 MBit/s,18.0 MBit/s
19.548108100891113,ap1-ssid,-73.0,-74.4,48.0 MBit/s,18.0 MBit/s
20.55112314224243,ap1-ssid,-77.0,-74.4,48.0 MBit/s,36.0 MBit/s
21.55452609062195,ap1-ssid,-72.0,-74.2,48.0 MBit/s,36.0 MBit/s
22.55825400352478,ap1-ssid,-74.0,-73.8,48.0 MBit/s,36.0 MBit/s
23.699574947357178,ap1-ssid,-74.0,-74.0,48.0 MBit/s,36.0 MBit/s
24.70312213897705,ap1-ssid,-74.0,-74.2,48.0 MBit/s,36.0 MBit/s
25.713507175445557,ap1-ssid,-81.0,-75.0,48.0 MBit/s,36.0 MBit/s
26.71618413925171,ap1-ssid,-76.0,-75.8,48.0 MBit/s,36.0 MBit/s
27.719099044799805,ap1-ssid,-77.0,-76.4,48.0 MBit/s,48.0 MBit/s
28.723701000213623,ap1-ssid,-74.0,-76.4,48.0 MBit/s,48.0 MBit/s
29.726354122161865,ap1-ssid,-76.0,-76.8,48.0 MBit/s,36.0 MBit/s
30.729477167129517,ap1-ssid,-81.0,-76.8,48.0 MBit/s,36.0 MBit/s
31.732604026794434,ap1-ssid,-78.0,-77.2,48.0 MBit/s,54.0 MBit/s
32.73539710044861,ap1-ssid,-80.0,-77.8,48.0 MBit/s,36.0 MBit/s
33.73816204071045,ap1-ssid,-77.0,-78.4,48.0 MBit/s,1.0 MBit/s
34.74226999282837,ap1-ssid,-78.0,-78.8,48.0 MBit/s,36.0 MBit/s
35.747642993927,ap1-ssid,-76.0,-77.8,48.0 MBit/s,36.0 MBit/s
36.750560998916626,ap1-ssid,-72.0,-76.6,48.0 MBit/s,36.0 MBit/s
37.758557081222534,ap1-ssid,-77.0,-76.0,48.0 MBit/s,24.0 MBit/s
38.76196908950806,ap1-ssid,-76.0,-75.8,48.0 MBit/s,24.0 MBit/s
39.76540803909302,ap1-ssid,-73.0,-74.8,48.0 MBit/s,24.0 MBit/s
40.76845908164978,ap1-ssid,-79.0,-75.4,48.0 MBit/s,24.0 MBit/s
41.77333307266235,ap1-ssid,-77.0,-76.4,48.0 MBit/s,24.0 MBit/s
42.77644896507263,ap1-ssid,-83.0,-77.6,48.0 MBit/s,24.0 MBit/s
43.77863597869873,ap1-ssid,-79.0,-78.2,48.0 MBit/s,18.0 MBit/s
44.790812969207764,ap1-ssid,-81.0,-79.8,48.0 MBit/s,36.0 MBit/s
45.79572296142578,ap1-ssid,-78.0,-79.6,48.0 MBit/s,36.0 MBit/s
46.798990964889526,ap1-ssid,-79.0,-80.0,48.0 MBit/s,36.0 MBit/s
47.80450201034546,ap1-ssid,-79.0,-79.2,48.0 MBit/s,18.0 MBit/s
48.8083770275116,ap1-ssid,-86.0,-80.6,48.0 MBit/s,11.0 MBit/s
49.8119421005249,ap1-ssid,-79.0,-80.2,48.0 MBit/s,18.0 MBit/s
50.814428091049194,ap1-ssid,-79.0,-80.4,48.0 MBit/s,18.0 MBit/s
51.817798137664795,ap1-ssid,-78.0,-80.2,48.0 MBit/s,18.0 MBit/s
52.82186007499695,ap1-ssid,-85.0,-81.4,48.0 MBit/s,18.0 MBit/s
53.82490611076355,ap1-ssid,-77.0,-79.6,48.0 MBit/s,18.0 MBit/s
54.82800912857056,ap1-ssid,-78.0,-79.4,48.0 MBit/s,18.0 MBit/s
55.83170294761658,ap1-ssid,-81.0,-79.8,48.0 MBit/s,18.0 MBit/s
56.836812019348145,ap1-ssid,-78.0,-79.8,48.0 MBit/s,18.0 MBit/s
57.84074115753174,ap1-ssid,-81.0,-79.0,48.0 MBit/s,18.0 MBit/s
58.8462929725647,ap1-ssid,-83.0,-80.2,48.0 MBit/s,18.0 MBit/s
