buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-06-10 05:51:31,60K,0.0,0
2021-06-10 05:51:32,60K,0.0,0
2021-06-10 05:51:33,60K,0.0,0
2021-06-10 05:51:34,60K,0.0,0
2021-06-10 05:51:35,60K,0.0,0
2021-06-10 05:51:36,60K,0.0,0
2021-06-10 05:51:37,60K,0.0,0
2021-06-10 05:51:38,60K,0.0,0
2021-06-10 05:51:39,60K,0.0,0
2021-06-10 05:51:40,60K,0.0,0
2021-06-10 05:51:41,60K,0.0,0
2021-06-10 05:51:42,60K,0.0,0
2021-06-10 05:51:43,60K,1.0,0
2021-06-10 05:51:44,60K,5.0,0
2021-06-10 05:51:45,60K,8.0,0
2021-06-10 05:51:46,60K,8.0,0
2021-06-10 05:51:47,60K,8.0,0
2021-06-10 05:51:48,60K,7.0,0
2021-06-10 05:51:49,60K,6.0,0
2021-06-10 05:51:50,120K,6.0,0
2021-06-10 05:51:51,120K,6.0,0
2021-06-10 05:51:52,120K,6.0,0
2021-06-10 05:51:53,120K,8.0,0
2021-06-10 05:51:54,120K,10.0,0
2021-06-10 05:51:55,120K,10.0,0
2021-06-10 05:51:56,120K,8.0,0
2021-06-10 05:51:57,120K,6.0,0
2021-06-10 05:51:58,120K,6.0,0
2021-06-10 05:51:59,120K,8.0,0
2021-06-10 05:52:00,120K,10.0,0
2021-06-10 05:52:01,120K,8.0,0
2021-06-10 05:52:02,120K,6.0,0
2021-06-10 05:52:03,120K,8.0,0
2021-06-10 05:52:04,120K,7.0,0
2021-06-10 05:52:05,120K,8.0,0
2021-06-10 05:52:06,120K,9.0,0
2021-06-10 05:52:07,120K,7.0,0
2021-06-10 05:52:08,120K,8.0,0
2021-06-10 05:52:09,120K,8.0,0
2021-06-10 05:52:10,120K,7.0,0
2021-06-10 05:52:11,120K,6.0,0
2021-06-10 05:52:12,120K,8.0,0
2021-06-10 05:52:13,120K,10.0,0
2021-06-10 05:52:14,120K,10.0,0
2021-06-10 05:52:15,120K,8.0,0
2021-06-10 05:52:16,120K,8.0,0
2021-06-10 05:52:17,120K,9.0,0
2021-06-10 05:52:18,120K,10.0,0
